Accident_Index,Location_Easting_OSGR ,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2.01E+12,460480,451800,-1.079736,53.95876,12,1,2,1,38723,5,0.025694444,189,E06000014,6,0,6,30,3,4,6,0,0,0,1,1,2,0,0,1,1,E01013367
2.01E+12,463230,453910,-1.037394,53.977393,12,1,2,3,20/04/2006,5,0.027777778,189,E06000014,6,0,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013388
2.01E+12,458300,455390,-1.112271,53.991272,12,1,2,1,30/08/2010,2,0.011111111,189,E06000014,3,1237,6,60,0,0,-1,0,0,0,6,1,1,0,0,2,1,E01013430
2.01E+12,458310,457550,-1.111705,54.010683,12,1,1,1,22/03/2010,2,0.03125,189,E06000014,6,0,6,60,0,-1,-1,0,0,0,1,1,2,0,0,2,1,E01013430
2.01E+12,460870,449770,-1.074197,53.940471,12,1,1,1,28/01/2010,5,0.017361111,189,E06000014,3,19,6,30,6,2,6,0,0,5,4,1,2,0,0,1,1,E01013362
2.02E+12,463855,455291,-1.025987,53.989521,12,1,1,1,17/12/2016,7,0.027777778,189,E06000014,3,1036,1,40,1,2,3,1237,0,0,1,1,1,0,0,2,1,E01013409
2.02E+12,464941,451138,-1.01031,53.952061,12,1,2,2,42441,7,0.013888889,189,E06000014,3,64,3,70,0,-1,-1,0,0,0,6,1,2,0,0,2,1,E01013351
2.02E+12,464935,451578,-1.010308,53.956016,12,1,3,6,15/08/2016,2,0.020833333,189,E06000014,3,64,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013351
2.02E+12,458207,444503,-1.114184,53.893229,12,1,1,1,14/08/2016,1,0.026388889,189,E06000014,6,5110,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013342
2.02E+12,459821,451548,-1.088246,53.956364,12,1,1,1,26/03/2016,7,0.026388889,189,E06000014,6,7110,6,30,3,4,6,7110,0,0,4,1,1,0,0,1,1,E01033068
