Accident_Index,Location_Easting_OSGR ,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2.01E+12,458563,453794,-1.108567,53.9769,12,2,1,1,18/11/2013,2,0.010416667,189,E06000014,3,19,6,40,0,-1,-1,0,0,8,4,1,2,0,0,1,1,E01013434
2.01E+12,460108,452226,-1.085321,53.962632,12,2,1,1,18/11/2013,2,0.027777778,189,E06000014,3,1036,6,30,0,-1,-1,0,0,5,1,1,1,0,0,1,1,E01013366
2.01E+12,459703,451753,-1.091586,53.958428,12,2,1,2,16/11/2013,7,0.038194444,189,E06000014,3,1036,6,30,3,4,6,0,0,4,4,1,1,0,0,1,1,E01033068
2.01E+12,457852,449934,-1.120137,53.942291,12,2,2,1,16/11/2013,7,0.001388889,189,E06000014,6,5611,6,30,3,4,6,5611,0,0,1,1,1,0,0,1,1,E01013359
2.01E+12,459146,454794,-1.099485,53.985821,12,2,2,1,15/11/2013,6,0.027777778,189,E06000014,5,417,6,30,3,4,6,3210,0,0,1,1,1,0,0,1,1,E01013431
2.01E+12,461002,451297,-1.071883,53.954179,12,2,2,1,14/11/2013,5,0.010416667,189,E06000014,3,1036,6,30,3,2,3,19,0,5,1,1,2,0,0,1,1,E01013363
2.01E+12,458284,448793,-1.113774,53.931989,12,2,2,1,41314,2,0,189,E06000014,3,1036,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01013355
2.01E+12,461951,452048,-1.057271,53.960815,12,2,2,1,41528,7,0.010416667,189,E06000014,5,409,6,30,3,4,6,7610,0,0,6,2,2,0,0,1,1,E01013384
2.01E+12,454797,447128,-1.167175,53.917405,12,2,2,2,41285,6,0.000694444,189,E06000014,3,64,3,70,0,-1,-1,0,0,0,6,2,2,0,0,2,1,E01013424
2.01E+12,457045,451414,-1.132153,53.955681,12,2,2,1,26/10/2013,7,0.020833333,189,E06000014,4,1224,6,30,3,4,6,2710,0,0,4,1,2,0,0,1,2,E01013445
2.01E+12,460888,450177,-1.073843,53.944127,12,2,2,1,17/10/2013,5,0,189,E06000014,3,19,6,30,3,4,6,0,0,0,1,9,1,0,0,1,2,E01013362
2.01E+12,464508,456243,-1.017418,53.998202,12,2,2,2,41588,6,0.008333333,189,E06000014,3,64,6,60,3,4,6,1410,0,0,6,1,1,0,0,2,1,E01013409
2.01E+12,459993,449494,-1.08761,53.938093,12,2,2,1,41527,4,0.006944444,189,E06000014,5,289,6,40,8,4,6,0,0,0,1,1,1,0,0,2,1,E01013414
2.01E+12,455724,447286,-1.153034,53.918727,12,2,2,3,41404,7,0.024305556,189,E06000014,3,64,7,60,0,-1,-1,0,0,0,4,1,1,0,0,2,1,E01013424
2.01E+12,459831,450953,-1.089792,53.951224,12,2,2,2,41404,7,0.003472222,189,E06000014,3,59,6,20,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01013416
2.01E+12,461830,451080,-1.05931,53.95213,12,2,2,1,26/02/2005,7,0.013888889,189,E06000014,6,0,6,30,6,4,6,0,0,0,1,2,2,0,0,1,2,E01013363
2.01E+12,460786,452448,-1.074945,53.964548,12,2,2,1,41343,5,0,189,E06000014,3,1036,6,30,3,4,6,3510,0,0,4,1,2,0,0,1,1,E01013369
2.01E+12,461007,451296,-1.071807,53.954169,12,2,2,1,29/09/2013,1,0.017361111,189,E06000014,3,1036,6,30,3,2,3,19,0,5,1,1,1,0,0,1,1,E01013363
2.01E+12,459952,450295,-1.088078,53.945297,12,2,3,1,28/09/2013,7,0.039583333,189,E06000014,6,6810,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01013412
2.01E+12,457226,451220,-1.129432,53.953918,12,2,2,1,23/09/2013,2,0.020833333,189,E06000014,5,285,6,30,0,-1,-1,0,0,8,1,1,1,0,0,1,1,E01013445
2.01E+12,455205,451379,-1.160197,53.955566,12,2,1,1,41587,4,0.017361111,189,E06000014,4,1224,6,60,0,-1,-1,0,0,0,1,2,2,0,0,2,1,E01013421
2.01E+12,462663,451404,-1.046552,53.954942,12,2,1,1,41434,6,0.03125,189,E06000014,5,408,6,30,3,4,6,4410,0,0,1,2,2,0,0,1,1,E01013401
2.01E+12,462636,458636,-1.045479,54.019937,12,2,2,1,41373,4,0,189,E06000014,5,90,6,40,3,4,5,92,0,0,1,1,1,0,0,2,2,E01013436
2.01E+12,456060,447870,-1.147811,53.923938,12,2,2,4,38506,1,0.017361111,189,E06000014,3,1237,6,60,0,0,-1,0,0,1,1,1,2,0,0,2,1,E01013421
2.01E+12,466104,452690,-0.993845,53.966071,12,2,3,5,19/08/2013,2,0.026388889,189,E06000014,3,166,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013352
2.01E+12,460091,452161,-1.085593,53.96205,12,2,1,1,41616,2,0.020833333,189,E06000014,3,1036,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01013366
2.01E+12,457512,454838,-1.124393,53.9864,12,2,3,2,41525,6,0.015972222,189,E06000014,3,1237,6,60,1,4,3,19,0,0,1,1,1,0,0,2,1,E01013432
2.01E+12,466810,453180,-0.982977,53.970384,12,2,2,3,38689,7,0.006944444,189,E06000014,3,166,6,60,0,0,-1,0,0,0,1,1,1,0,0,2,1,E01013351
2.01E+12,455841,451829,-1.150424,53.959542,12,2,2,1,41313,6,0.03125,189,E06000014,3,1237,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013421
2.01E+12,462384,451941,-1.050694,53.959802,12,2,2,3,28/07/2013,1,0.024305556,189,E06000014,5,408,6,20,0,-1,-1,0,0,0,4,2,2,0,0,1,1,E01013381
2.01E+12,459784,450060,-1.090683,53.943204,12,2,3,2,26/07/2013,6,0.025,189,E06000014,5,407,6,30,0,-1,-1,0,0,0,4,1,1,0,6,1,1,E01013412
2.01E+12,463855,455322,-1.027571,53.990006,12,2,1,1,41493,2,0.001388889,189,E06000014,3,1237,1,40,1,2,3,1036,0,8,1,1,1,0,0,2,1,E01013409
2.01E+12,458864,451310,-1.104456,53.954543,12,2,1,1,41462,1,0.017361111,189,E06000014,3,59,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01013391
2.01E+12,461475,447911,-1.065356,53.923694,12,2,1,1,41462,1,0.023611111,189,E06000014,3,19,6,40,1,4,3,64,0,0,4,1,1,0,0,2,1,E01013365
2.01E+12,459662,448428,-1.092859,53.928552,12,2,1,1,41523,1,0.010416667,189,E06000014,3,64,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013340
