Accident_Index,Location_Easting_OSGR ,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2.01E+12,459990,451930,-1.087177,53.959985,12,3,1,1,22/11/2011,3,0.03125,189,E06000014,3,1036,6,30,0,-1,-1,0,0,0,1,2,2,6,0,1,2,E01013366
2.02E+12,457054,452528,-1.131832,53.965709,12,3,1,1,13/05/2017,7,0.663888889,189,E06000014,6,2710,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013339
2.02E+12,457547,450137,-1.124768,53.944168,12,3,1,1,43074,6,0.845833333,189,E06000014,6,5610,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013443
2.01E+12,455250,448260,-1.160074,53.92753,12,3,2,1,30/11/2011,4,0.0375,189,E06000014,5,286,6,30,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013421
2.01E+12,460960,455930,-1.071597,53.995819,12,3,1,1,30/11/2011,4,0,189,E06000014,5,94,6,30,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013407
2.02E+12,458463,449762,-1.110886,53.940696,12,3,2,1,43044,5,0.569444444,189,E06000014,5,413,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013358
2.01E+12,458390,451840,-1.111577,53.959359,12,3,2,1,40555,5,0.010416667,189,E06000014,3,59,6,30,3,4,6,0,0,0,6,1,1,0,0,1,2,E01013393
2.01E+12,459550,451230,-1.094019,53.953745,12,3,2,1,40586,6,0.020833333,189,E06000014,3,1036,6,30,9,4,-1,-1,0,5,1,1,4,0,0,1,1,E01013417
2.02E+12,460784,451245,-1.075239,53.953756,12,3,1,1,43044,5,0.55625,189,E06000014,3,1036,6,30,3,2,3,19,0,4,1,1,1,0,0,1,1,E01013363
2.01E+12,455320,447320,-1.159178,53.919075,12,3,3,1,40586,6,0.038888889,189,E06000014,3,64,3,70,0,-1,-1,0,0,0,1,1,2,0,0,2,1,E01013421
